OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,SUMLEV,LOGRECNO,STATE,COUNTY,TRACT,GEOID,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0040003,P0060002,P0060003,P0060004,P0060005,P0060006,P0060007,P0120002,P0120003,P0120004,P0120005,P0120006,P0120007,P0120008,P0120009,P0120010,P0120011,P0120012,P0120013,P0120014,P0120015,P0120016,P0120017,P0120018,P0120019,P0120020,P0120021,P0120022,P0120023,P0120024,P0120025,P0120026,P0120027,P0120028,P0120029,P0120030,P0120031,P0120032,P0120033,P0120034,P0120035,P0120036,P0120037,P0120038,P0120039,P0120040,P0120041,P0120042,P0120043,P0120044,P0120045,P0120046,P0120047,P0120048,P0120049,P0130001,P0130002,P0130003,P0150001,P0170001,P0190008,P0190009,P0290026,P0350001,P0360002,P0360003,P0370001,H00010001,H0020002,H0020005,H0030002,H0030003,H0040002,H0040003,H0040004,H0050006,ShapeSTArea,ShapeSTLength
1,50,005,957800,50005957800,9578,Census Tract 9578,G5020,S,354502014,6565415,+44.2599285,-072.2047646,140,6930,50,005,957800,50005957800,2928,2858,10,8,3,1,9,39,22,2897,17,34,8,2,9,1438,97,89,78,76,27,16,9,42,70,66,88,87,81,120,151,34,72,39,43,64,36,31,22,1490,76,90,89,66,27,12,12,45,73,72,79,90,110,133,151,53,68,41,40,54,42,36,31,44.6,43,45.8,1190,2.46,236,437,0,837,644,1764,2.88,1801,0,0,1190,611,607,391,192,520,361046903.674767,101385.901451979
2,50,005,957200,50005957200,9572,Census Tract 9572,G5020,S,44098542,499498,+44.5295384,-071.9748149,140,6909,50,005,957200,50005957200,2646,2573,5,7,25,0,7,29,28,2602,10,19,32,2,11,1258,77,71,68,38,27,25,19,79,72,63,63,62,96,97,98,30,66,28,26,49,31,38,35,1388,58,66,61,46,22,23,35,61,63,63,75,59,101,113,123,33,59,27,44,68,63,58,67,45.8,42.6,48.5,1151,2.25,143,375,51,673,460,1400,2.76,1257,0,0,1151,106,460,312,379,28,44596779.8899002,30247.5630932796
3,50,005,957400,50005957400,9574,Census Tract 9574,G5020,S,47505608,429027,+44.4605583,-072.0392927,140,6916,50,005,957400,50005957400,3852,3651,47,25,55,0,16,58,65,3708,67,59,63,1,16,1942,124,95,100,77,54,34,28,93,159,122,127,117,152,143,149,45,73,44,44,50,32,45,35,1910,102,96,112,69,50,20,16,67,101,107,119,114,121,173,154,51,82,34,37,67,60,67,91,41.2,38.3,44.2,1659,2.12,220,364,342,869,746,1681,2.79,1883,0,0,1659,224,476,277,906,36,47932784.5826111,36944.2115107781
4,50,005,957500,50005957500,9575,Census Tract 9575,G5020,S,46744740,488535,+44.4446644,-071.9816127,140,6920,50,005,957500,50005957500,3751,3620,12,26,34,0,12,47,49,3663,27,58,40,0,12,1826,123,126,127,88,45,26,17,61,94,98,101,116,156,129,128,47,68,32,46,50,57,38,53,1925,118,116,101,70,46,24,21,69,93,106,95,99,175,141,146,49,68,33,46,67,71,75,96,42.7,40.2,45.1,1499,2.43,242,458,104,1001,847,2015,2.86,1639,0,0,1499,140,624,407,468,19,47231880.9820023,32849.5454456881
5,50,005,957700,50005957700,9577,Census Tract 9577,G5020,S,100026069,1032724,+44.5198439,-072.3520692,140,6927,50,005,957700,50005957700,3010,2894,18,17,10,0,1,70,11,2964,31,66,18,0,2,1470,108,108,112,56,47,11,16,36,90,80,83,99,105,109,136,45,54,28,41,39,41,17,9,1540,87,96,106,66,33,19,16,46,86,100,81,100,135,116,127,45,58,24,42,46,46,30,35,40.7,39.3,42.1,1239,2.41,213,365,26,799,723,1620,2.93,1423,0,0,1239,184,583,326,330,60,101051951.670662,40348.6172740093
6,50,005,957600,50005957600,9576,Census Tract 9576,G5020,S,157271384,1065229,+44.4375039,-072.1248218,140,6924,50,005,957600,50005957600,2196,2147,6,1,10,0,6,26,10,2173,10,19,14,0,6,1055,61,63,70,41,22,6,11,21,50,49,57,72,85,85,94,43,50,23,40,43,31,20,18,1141,65,60,51,48,29,10,6,32,36,55,66,83,85,106,98,52,54,26,43,48,31,30,27,46.2,45.3,47.2,928,2.37,174,342,0,639,451,1328,2.78,1268,0,0,928,340,513,271,144,270,158328809.22612,55888.5207707349
7,50,005,957100,50005957100,9571,Census Tract 9571,G5020,S,150905486,484540,+44.5677775,-071.9231743,140,6906,50,005,957100,50005957100,2246,2191,3,12,6,0,5,29,34,2219,15,27,11,1,7,1103,58,76,81,43,22,13,8,35,60,74,71,70,74,84,100,35,51,25,39,29,26,17,12,1143,69,80,77,35,18,17,8,31,61,63,91,61,97,97,102,38,35,25,32,30,30,26,20,41,40.5,41.5,924,2.43,169,316,0,612,502,1254,2.87,1343,0,0,924,419,476,253,195,341,151387047.785149,69147.8902603561
8,50,005,957300,50005957300,9573,Census Tract 9573,G5020,S,58114573,422592,+44.5510261,-072.0349205,140,6912,50,005,957300,50005957300,3335,3138,30,14,91,0,12,50,48,3185,43,43,98,1,16,1754,71,82,95,87,270,102,88,89,85,79,77,83,96,104,101,37,46,24,36,40,31,19,12,1581,61,63,90,78,182,68,58,72,83,56,87,97,115,101,105,31,40,29,36,42,30,30,27,28.5,24.5,33.1,1059,2.44,189,325,755,683,556,1413,2.88,1149,0,0,1059,90,503,228,328,35,58534954.5864105,32438.466491915
9,50,005,957900,50005957900,9579,Census Tract 9579,G5020,S,208674493,7118568,+44.3397937,-072.0206870,140,6934,50,005,957900,50005957900,2988,2911,24,13,9,0,4,27,24,2938,31,28,13,0,6,1469,80,87,118,68,38,9,12,31,55,76,82,77,117,129,159,48,67,35,41,63,28,30,19,1519,67,105,97,72,33,8,9,31,60,75,84,89,126,138,159,50,63,30,39,50,54,42,38,45.6,45.1,45.8,1171,2.52,259,472,39,868,675,1831,2.89,1530,0,0,1171,359,646,376,149,295,215785897.35421,81361.0810205912
10,50,005,957000,50005957000,9570,Census Tract 9570,G5020,S,512706229,4356477,+44.6043518,-072.1044374,140,6902,50,005,957000,50005957000,4275,4155,12,15,8,0,20,65,40,4218,23,57,18,1,27,2194,119,138,135,98,49,21,18,56,96,114,137,165,181,192,184,65,109,65,74,73,52,34,19,2081,106,136,126,107,34,16,16,57,101,109,147,135,182,191,189,74,76,40,63,67,37,41,31,43.5,43.7,43.2,1733,2.45,327,616,28,1172,922,2449,2.88,2649,0,0,1733,916,942,562,229,772,517039500.589813,139649.425897318
11,50,001,960700,50001960700,9607,Census Tract 9607,G5020,S,70248925,357651,+44.0152577,-073.1061457,140,2259,50,001,960700,50001960700,3957,3804,22,8,51,0,4,68,62,3871,45,35,67,1,7,1894,111,123,140,97,28,15,13,57,101,96,112,122,152,158,151,53,76,44,45,58,44,63,35,2063,86,113,142,80,36,13,13,40,89,91,101,166,174,151,167,79,85,36,62,82,89,82,86,44.9,41.8,46.8,1748,2.24,322,486,40,1044,882,2097,2.85,1860,0,0,1748,112,792,424,532,43,70605647.0134277,35103.8744187015
12,50,001,960100,50001960100,9601,Census Tract 9601,G5020,S,211212606,1468144,+44.2299945,-073.0666529,140,2236,50,001,960100,50001960100,3757,3659,11,3,25,0,11,48,35,3706,21,33,29,0,19,1889,129,119,142,72,45,17,15,59,82,98,135,140,186,164,180,79,61,46,33,38,26,14,9,1868,104,124,126,79,36,12,14,50,104,117,153,152,158,168,193,57,65,20,36,30,26,14,30,40.8,41.1,40.5,1439,2.61,371,488,3,1049,883,2251,2.99,1624,0,0,1439,185,920,361,158,136,212676452.565018,68655.7176070671
13,50,001,960800,50001960800,9608,Census Tract 9608,G5020,S,30312089,654072,+43.9868788,-073.1547466,140,2264,50,001,960800,50001960800,4539,3872,92,7,316,1,62,189,196,4055,133,48,426,6,77,2178,55,51,53,26,445,304,253,271,86,63,60,63,67,54,73,27,43,25,28,29,31,33,38,2361,53,33,36,25,556,243,290,231,83,63,61,66,69,79,78,38,48,25,30,51,48,59,96,21.7,21.6,21.8,1039,1.98,99,241,2479,485,319,977,2.67,1208,0,0,1039,169,286,155,598,30,30966075.1984253,30071.4052977496
14,50,001,960900,50001960900,9609,Census Tract 9609,G5020,S,456816582,21511718,+43.9055843,-073.2904483,140,2268,50,001,960900,50001960900,5337,5188,21,13,25,0,46,44,97,5232,39,33,33,1,47,2659,142,149,180,122,50,21,33,87,116,122,142,185,232,239,223,98,109,73,84,100,70,46,36,2678,126,146,193,134,55,26,16,69,105,115,151,210,218,248,230,86,122,54,90,105,60,65,54,44.6,44.5,44.8,2115,2.52,444,843,2,1509,1162,3221,2.9,2590,0,0,2115,475,1125,599,391,329,478341738.572918,103230.380832267
15,50,009,950500,50009950500,9505,Census Tract 9505,G5020,S,643501127,9000177,+44.5334030,-071.7709879,140,11860,50,009,950500,50009950500,3238,3149,11,18,10,0,2,48,31,3197,17,55,14,0,5,1633,76,80,105,49,27,25,16,44,71,76,108,119,141,141,146,54,75,44,62,75,51,28,20,1605,76,90,81,72,39,18,14,44,78,79,104,114,126,140,113,61,71,44,50,65,56,40,30,45.3,45.7,44.6,1417,2.27,210,513,16,910,616,1876,2.74,2170,0,0,1417,753,639,541,237,619,652510508.148376,135090.567274171
16,50,009,950200,50009950200,9502,Census Tract 9502,G5020,S,134320132,3817590,+44.8024831,-071.8753956,140,11858,50,009,950200,50009950200,1222,1185,5,11,4,0,1,16,11,1201,5,23,8,0,2,612,24,32,36,28,11,6,3,16,29,31,26,39,47,56,65,16,23,19,20,31,24,22,8,610,22,24,38,27,10,1,8,19,28,23,27,41,46,55,45,19,26,21,24,20,37,26,23,48.3,47.6,49,554,2.21,72,182,0,343,225,702,2.7,947,0,0,554,393,219,165,170,326,138136341.672211,47637.3528670754
17,50,009,950100,50009950100,9501,Census Tract 9501,G5020,S,940889360,17473685,+44.8791084,-071.7094364,140,11855,50,009,950100,50009950100,1846,1804,2,7,8,0,6,19,17,1822,4,21,11,0,9,943,32,42,61,44,16,12,3,16,27,25,48,57,74,88,106,35,64,35,46,42,37,18,15,903,24,38,59,37,18,10,3,20,25,33,39,67,81,102,82,34,44,22,34,48,37,27,19,50.3,51,49.9,847,2.18,126,335,0,561,331,1155,2.65,1902,0,0,847,1055,384,312,151,983,958391797.831703,190775.43491686
18,50,001,960500,50001960500,9605,Census Tract 9605,G5020,S,107525388,1714173,+44.0977168,-073.0484473,140,2251,50,001,960500,50001960500,3894,3764,9,3,28,0,24,66,47,3827,16,51,40,0,27,1929,114,114,119,95,49,31,13,59,100,102,129,135,167,184,153,60,74,33,41,54,47,27,29,1965,108,107,128,83,45,17,13,48,107,122,123,152,156,182,143,60,56,41,55,60,53,55,51,41.9,41.3,42.7,1585,2.45,309,517,12,1051,845,2198,2.9,1691,0,0,1585,106,748,356,481,26,109237379.24028,52406.9827884033
