Year,Town,Type,Return,Exempt,MarJnt,Single,MarSep,HdHous,AGI,FedTI,VTI,NetVTax
2005,Addison,Grand Total,736,1468,366,317,11,42,31173297,20115135,19169161,793688.5138
2005,Albany,Grand Total,400,814,208,155,5,32,12504663,7115097,7017330,282752.7029
2005,Alburg,Grand Total,1019,1942,458,454,16,91,40643827,26574454,25905510,1094373.539
2005,Andover,Grand Total,229,415,114,96,9,10,10552376,7259167,6864776,301064.8339
2005,Arlington,Grand Total,1325,2338,532,659,23,111,58300040,39194579,36738356,1660356.441
2005,Athens,Grand Total,160,314,70,66,2,22,5247720,2965774,2876294,100524.262
2005,Bakersfield,Grand Total,560,1219,295,213,6,46,23502503,14909594,14611257,604792.958
2005,Baltimore,Grand Total,111,225,60,44,1,6,4276269,2637240,2618386,105893.0417
2005,Barnard,Grand Total,456,847,224,190,19,23,41176497,32354242,24825263,1250985.315
2005,Barnet,Grand Total,802,1595,382,336,16,68,33733451,22998161,21783177,981588.7733
2005,Barre City,Grand Total,4444,7734,1418,2392,80,554,147305101,92768870,91045997,3757827.154
2005,Barre Town,Grand Total,4026,7948,1979,1673,40,334,201673481,138571762,134786032,6551148.341
2005,Barton,Grand Total,928,1725,371,455,19,83,28240800,16816416,16426426,669248.63
2005,Belvidere,Grand Total,143,274,64,68,2,9,5918079,3808601,3380327,153288.3415
2005,Bennington,Grand Total,6890,12475,2433,3522,106,829,276829638,185625180,173812498,7783433.845
2005,Benson,Grand Total,455,928,222,180,2,51,16721663,10390833,10062883,418719.5376
2005,Berkshire,Grand Total,617,1363,322,236,5,54,25059243,15913403,15579520,687054.9604
2005,Berlin,Grand Total,1313,2418,548,626,17,122,60795488,41809627,40898506,1993432.362
2005,Bethel,Grand Total,1018,1902,437,472,11,98,37416288,23385218,23096188,964410.6222
2005,Bloomfield,Grand Total,96,195,41,42,2,11,2944710,1721984,1715776,67445.12
2005,Bolton,Grand Total,568,1075,241,269,11,47,26747514,17901236,17779672,773598.6176
2005,Bradford,Grand Total,1354,2511,525,654,24,151,54763548,36531505,34503856,1603272.645
2005,Braintree,Grand Total,605,1151,268,267,9,61,21138915,13467306,13191816,565606.8006
2005,Brandon,Grand Total,1975,3715,870,929,24,152,75500657,48198165,47115121,2034639.116
2005,Brattleboro,Grand Total,6088,10487,1941,3368,118,661,258897786,177014205,165410329,7960302.844
2005,Bridgewater,Grand Total,496,895,221,241,4,30,23334217,15387331,13891510,641944.0524
2005,Bridport,Grand Total,616,1212,296,263,13,44,26793604,18381771,17648149,690454.8414
2005,Brighton,Grand Total,548,1022,218,267,6,57,14482615,7860969,7665094,288738.6884
2005,Bristol,Grand Total,1990,3709,768,1004,40,178,76091870,48788980.61,47569604.61,2003223.215
2005,Brookfield,Grand Total,573,1216,319,207,5,42,31388194,21484999.72,19868938.72,999704.1567
2005,Brookline,Grand Total,240,466,111,113,1,15,10073295,6507230,6201594,258577.1912
2005,Brownington,Grand Total,411,842,184,183,4,40,11897571,6671667,6594045,247270.4508
2005,Brunswick,Grand Total,48,93,24,22,0,2,1207072,612083,591347,21508.772
2005,Burke,Grand Total,832,1600,367,370,14,81,33670075,22313640,21609901,1025676.98
2005,Burlington,Grand Total,17631,27298,4533,11479,274,1345,766714113,539141289,510926773,24482271.7
2005,Cabot,Grand Total,592,1215,293,250,7,42,28124649,18909674,16806067,647519.8149
2005,Calais,Grand Total,832,1568,374,380,15,63,54067642,39116456,34151209,2058704.56
2005,Cambridge,Grand Total,1751,3351,777,809,32,133,75388081,48993496,48132972,2071555.803
2005,Canaan,Grand Total,459,933,227,180,3,49,14771224,8858170,8660015,337739.9699
2005,Castleton,Grand Total,1877,3419,803,906,19,149,76279903,50121943,48905861,2110154.556
2005,Cavendish,Grand Total,613,1148,272,290,10,41,24827073,16292358,15341315,658316.8259
2005,Charleston,Grand Total,473,907,221,206,9,37,13870059,8049371,7722144,308894.0969
2005,Charlotte,Grand Total,1786,3695,921,759,17,89,230792593,178236224,166497158,11521161.75
2005,Chelsea,Grand Total,602,1125,266,283,11,42,22334309,14559932,14100801,621512.4864
2005,Chester,Grand Total,1638,3098,695,779,25,139,63099423.98,41318690.98,39696594.98,1793299.278
2005,Chittenden,Grand Total,811,1543,348,386,18,59,42346071,28987247,28070062,1293028.191
2005,Clarendon,Grand Total,1363,2561,600,638,29,96,55658450,36603827,35884265,1649549.534
2005,Colchester,Grand Total,7884,14654,3244,3853,110,677,481762681.1,344764498,317307236,16281854.46
2005,Concord,Grand Total,544,1083,250,241,12,41,17532867,10107888,9997558,382639.2028
2005,Corinth,Grand Total,656,1288,313,275,10,58,25394034,16241796,15566990,651478.7329
2005,Cornwall,Grand Total,555,1103,286,225,16,28,54132374,43195534,34925913,2248652.089
2005,Coventry,Grand Total,421,886,233,146,8,34,14944634,9148229,8833968,357652.4244
2005,Craftsbury,Grand Total,544,1041,268,242,4,30,21166383,13801321,13186553,602119.2164
2005,Danby,Grand Total,650,1237,311,285,3,51,24985476,15723026,15329897,659468.2421
2005,Danville,Grand Total,1128,2149,541,498,18,71,57535412,41131919,38270932,1945083.233
2005,Derby,Grand Total,2267,4419,1045,994,29,199,93887184,61295989,59159134,2857530.106
2005,Dorset,Grand Total,1076,1933,479,503,14,80,95907011,74210516,66974947,3876867.705
2005,Dover,Grand Total,731,1205,262,397,22,50,29970018,20610534,19522559,833710.4664
2005,Dummerston,Grand Total,942,1759,428,425,18,71,59210141,42198721,38981323,2052259.369
2005,Duxbury,Grand Total,585,1160,295,255,7,28,27784151,18817744,18532994,815242.4898
2005,East Haven,Grand Total,131,260,61,52,2,16,4027165,2286174,2253353,83947.3826
2005,East Montpelier,Grand Total,1265,2473,610,540,16,99,71192141,50260981,47494475,2425494.267
2005,Eden,Grand Total,586,1120,243,275,8,60,20542398,12741791,12394768,537579.5703
2005,Elmore,Grand Total,384,792,198,156,2,28,21779502,15452330,14885085,739883.3165
2005,Enosburg,Grand Total,1333,2728,586,571,24,152,46853328,28550777,27474950,1131889.442
2005,Essex Junction,Grand Total,5664,9856,2045,3126,72,421,273175130,188699639,183359059,8760846.164
2005,Essex Town,Grand Total,4276,9332,2327,1641,31,277,298687316,214662569,210206988,10945539.09
2005,Fair Haven,Grand Total,1381,2595,545,659,17,160,46547757,28800357,28498135,1139722.863
2005,Fairfax,Grand Total,1882,3973,963,762,23,134,95565987,64232742,62242991,2729729.447
2005,Fairfield,Grand Total,871,1846,433,361,7,70,40144194,27397199,25839357,1303148.343
2005,Fairlee,Grand Total,586,1021,228,301,15,42,26453044,18355092,17897702,840284.432
2005,Fayston,Grand Total,570,1118,288,235,7,40,36258009,26490009,25246085,1239507.226
2005,Ferrisburgh,Grand Total,1332,2645,642,581,17,92,67950460,46741220,45055322,2234897.923
2005,Fletcher,Grand Total,525,1132,298,187,4,36,27633476,18400830,17875893,795249.568
2005,Franklin,Grand Total,668,1363,310,290,8,60,25124992,16000500,15623824,666848.2654
2005,Georgia,Grand Total,1973,4278,1049,739,22,163,109576523,76296971,74232085,3732289.526
2005,Glover,Grand Total,508,1001,235,224,9,40,18650758,11878576,11541745,490643.0901
2005,Goshen,Grand Total,80,146,36,42,0,2,3595749,2493163,2396250,108646.0484
2005,Grafton,Grand Total,291,565,171,109,1,10,13275605,8479520,8192271,331694.2985
2005,Granby,Grand Total,20,52,17,1,1,1,826212,473705,471755,15962.407
2005,Grand Isle,Grand Total,1034,2014,510,424,22,78,66823660,46599339,44453150,2280734.061
2005,Granville,Grand Total,154,267,53,88,1,12,5133968,3205680,3144348,135674.3786
2005,Greensboro,Grand Total,396,740,181,182,10,23,15461633,9892853,9491394,480115.4464
2005,Groton,Grand Total,459,953,228,189,1,41,16947206,10246643,9971245,430838.1677
2005,Guildhall,Grand Total,120,222,64,48,0,8,3744456,2507048,2449372,94437.742
2005,Guilford,Grand Total,1071,1972,466,506,19,80,50872736,34825915,33064186,1379430.615
