Year,Town,AGIClss,Return,Exempt,MarJnt,Single,MarSep,HdHous,AGI,FedTI,VTI,NetVTax
2005,Alburg,Loss or None,14,22.0,6.0,7.0,1.0,0.0,-382452.0,0.0,0.0,0.0
2005,Alburg,0.01 - 4999,103,97.0,12.0,84.0,1.0,6.0,300294.0,2588.0,2588.0,97.0
2005,Alburg,5000 - 9999,109,121.0,14.0,86.0,2.0,7.0,811287.0,69942.0,69934.0,2450.6502
2005,Alburg,10000 - 14999,85,148.0,19.0,49.0,2.0,15.0,1064365.0,210304.0,217867.0,7172.920800000001
2005,Alburg,15000 - 19999,76,133.0,24.0,43.0,1.0,8.0,1322410.0,406666.0,394053.0,13123.5204
2005,Alburg,20000 - 24999,90,175.0,32.0,39.0,1.0,18.0,2036363.0,800049.0,796061.0,25363.7115
2005,Alburg,25000 - 29999,86,180.0,35.0,36.0,2.0,13.0,2369154.0,1121547.0,1114908.0,37370.44
2005,Alburg,30000 - 34999,56,123.0,26.0,23.0,0.0,7.0,1831031.0,935469.0,932152.0,30456.2802
2005,Alburg,35000 - 39999,54,97.0,21.0,24.0,2.0,7.0,2017454.0,1236332.0,1233673.0,42569.6295
2005,Alburg,40000 - 44999,43,87.0,21.0,19.0,0.0,3.0,1810399.0,1157597.0,1156425.0,37438.3658
2005,Alburg,45000 - 49999,37,83.0,23.0,13.0,0.0,1.0,1757474.0,1109506.0,1109368.0,40844.6472
2005,Alburg,50000 - 59999,62,161.0,44.0,11.0,2.0,5.0,3393935.0,2205547.0,2187253.0,79408.017
2005,Alburg,60000 - 74999,91,231.0,76.0,15.0,0.0,0.0,6088555.0,4222402.0,4177012.0,148771.0
2005,Alburg,75000 - 99999,60,154.0,57.0,0.0,2.0,1.0,5104440.0,3784112.0,3728228.0,135022.5311
2005,Alburg,100000 - 149999,33,79.0,30.0,3.0,0.0,0.0,3877540.0,3071159.0,2918308.0,137271.4096
2005,Alburg,150000 +,20,51.0,18.0,2.0,0.0,0.0,7241578.0,6241234.0,5867680.0,357013.4152
2005,Buel's Gore,0.01 - 9999,*,,,,,,,,,
2005,Buel's Gore,10000 - 19999,*,,,,,,,,,
2005,Buel's Gore,20000 - 29999,*,,,,,,,,,
2005,Buel's Gore,30000 - 39999,*,,,,,,,,,
2005,Buel's Gore,40000 - 49999,*,,,,,,,,,
2005,Buel's Gore,75000 +,*,,,,,,,,,
2005,Enosburg,Loss or None,7,11.0,4.0,3.0,0.0,0.0,-43501.0,0.0,0.0,0.0
2005,Enosburg,0.01 - 4999,143,129.0,14.0,124.0,0.0,5.0,398897.0,1469.0,986.0,60.1789
2005,Enosburg,5000 - 9999,127,189.0,22.0,88.0,3.0,14.0,942540.0,52050.0,51871.0,1952.9393
2005,Enosburg,10000 - 14999,118,197.0,24.0,63.0,5.0,26.0,1437572.0,305480.0,304924.0,10663.4303
2005,Enosburg,15000 - 19999,110,213.0,32.0,51.0,4.0,23.0,1900861.0,541948.0,536309.0,18804.7485
2005,Enosburg,20000 - 24999,116,218.0,27.0,67.0,2.0,20.0,2587732.0,1154818.0,1146495.0,40395.4701
2005,Enosburg,25000 - 29999,110,234.0,43.0,47.0,2.0,18.0,3047837.0,1446843.0,1413855.0,49415.8498
2005,Enosburg,30000 - 34999,87,173.0,25.0,44.0,2.0,16.0,2848260.0,1623369.0,1592778.0,54753.4913
2005,Enosburg,35000 - 39999,80,186.0,44.0,25.0,1.0,10.0,2996890.0,1649991.0,1626617.0,56972.4402
2005,Enosburg,40000 - 44999,58,136.0,36.0,17.0,0.0,5.0,2437904.0,1435014.0,1382511.0,49368.1143
2005,Enosburg,45000 - 49999,53,125.0,35.0,10.0,2.0,6.0,2498291.0,1604208.0,1594349.0,59040.75
2005,Enosburg,50000 - 59999,85,233.0,66.0,12.0,3.0,4.0,4662972.0,3048227.0,2972449.0,112707.0
2005,Enosburg,60000 - 74999,97,285.0,88.0,6.0,0.0,3.0,6458911.0,4481002.0,4426417.0,168920.0
2005,Enosburg,75000 - 99999,95,282.0,90.0,5.0,0.0,0.0,8034768.0,5835178.0,5602907.0,236805.113
2005,Enosburg,100000 - 149999,34,92.0,29.0,5.0,0.0,0.0,3881235.0,3048877.0,2839373.0,135955.9164
2005,Enosburg,150000 +,13,25.0,7.0,4.0,0.0,2.0,2762159.0,2322303.0,1983109.0,136074.0
2005,Essex Junction,Loss or None,53,47.0,8.0,43.0,0.0,2.0,-355150.0,0.0,0.0,34.0
